Rank,Title,Genre,Description,Director,Actors,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
557,The Gift,Mystery,A young married couple's lives are thrown into a harrowing tailspin when an acquaintance from the husband's past brings mysterious gifts and a horrifying secret to light after more than 20 years.,Joel Edgerton,Jason Bateman,2015,108,7.1,96688,43.77,77
558,Dracula Untold,Action,As his kingdom is being threatened by the Turks young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family and the families of his kingdom.,Gary Shore,Luke Evans,2014,92,6.3,148504,55.94,40
559,In the Heart of the Sea,Action,A recounting of a New England whaling ship's sinking by a giant whale in 1820 an experience that later inspired the great novel Moby-Dick.,Ron Howard,Chris Hemsworth,2015,122,6.9,90372,24.99,47
560,Idiocracy,Adventure,Private Joe Bauers the definition of ""average American" is selected by the Pentagon to be the guinea pig for a top-secret hibernation program. Forgotten he awakes five centuries in the future. He discovers a society so incredibly dumbed down that he's easily the most intelligent person alive.,Mike Judge,Luke Wilson,2006,84,6.6,115355,0.44,66
561,The Expendables,Action,A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.,Sylvester Stallone,Sylvester Stallone,2010,103,6.5,283282,102.98,45
562,Evil Dead,Fantasy,Five friends head to a remote cabin where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods.,Fede Alvarez,Jane Levy,2013,91,6.5,133113,54.24,57
563,Sinister,Horror,Washed-up true-crime writer Ellison Oswalt finds a box of super 8 home movies that suggest the murder he is currently researching is the work of a serial killer whose work dates back to the 1960s.,Scott Derrickson,Ethan Hawke,2012,110,6.8,171169,48.06,53
564,Wreck-It Ralph,Animation,A video game villain wants to be a hero and sets out to fulfill his dream but his quest brings havoc to the whole arcade where he lives.,Rich Moore,John C. Reilly,2012,101,7.8,290559,189.41,72
565,Snow White and the Huntsman,Action,In a twist to the fairy tale the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen.,Rupert Sanders,Kristen Stewart,2012,127,6.1,239772,155.11,57
566,Pan,Adventure,12-year-old orphan Peter is spirited away to the magical world of Neverland where he finds both fun and danger and ultimately discovers his destiny -- to become the hero who will be forever known as Peter Pan.,Joe Wright,Levi Miller,2015,111,5.8,47804,34.96,36
567,Transformers: Dark of the Moon,Action,The Autobots learn of a Cybertronian spacecraft hidden on the moon and race against the Decepticons to reach it and to learn its secrets.,Michael Bay,Shia LaBeouf,2011,154,6.3,338369,352.36,42
568,Juno,Comedy,Faced with an unplanned pregnancy an offbeat young woman makes an unusual decision regarding her unborn child.,Jason Reitman,Ellen Page,2007,96,7.5,432461,143.49,81
569,A Hologram for the King,Comedy,A failed American sales rep looks to recoup his losses by traveling to Saudi Arabia and selling his company's product to a wealthy monarch.,Tom Tykwer,Tom Hanks,2016,98,6.1,26521,4.2,58
570,Money Monster,Crime,Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes over their studio.,Jodie Foster,George Clooney,2016,98,6.5,68654,41.01,55
571,The Other Woman,Comedy,After discovering her boyfriend is married Carly soon meets the wife he's been betraying. And when yet another love affair is discovered all three women team up to plot revenge on the three-timing S.O.B.,Nick Cassavetes,Cameron Diaz,2014,109,6,110825,83.91,39
572,Enchanted,Animation,A young maiden in a land called Andalasia who is prepared to be wed is sent away to New York City by an evil queen where she falls in love with a lawyer.,Kevin Lima,Amy Adams,2007,107,7.1,150353,127.71,75
573,The Intern,Comedy,70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game he becomes a senior intern at an online fashion site founded and run by Jules Ostin.,Nancy Meyers,Robert De Niro,2015,121,7.1,159582,75.27,51
574,Little Miss Sunshine,Comedy,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,Jonathan Dayton,Steve Carell,2006,101,7.8,374044,59.89,80
575,Bleed for This,Biography,The inspirational story of World Champion Boxer Vinny Pazienza who after a near fatal car crash which left him not knowing if he'd ever walk again made one of sport's most incredible comebacks.,Ben Younger,Miles Teller,2016,117,6.8,11900,4.85,62
576,Clash of the Titans,Action,Perseus demigod son of Zeus battles the minions of the underworld to stop them from conquering heaven and earth.,Louis Leterrier,Sam Worthington,2010,106,5.8,238206,163.19,39
577,The Finest Hours,Action,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,Craig Gillespie,Chris Pine,2016,117,6.8,44425,27.55,58
