Rank,Title,Genre,Description,Director,Actors,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
777,31,Horror,Five carnival workers are kidnapped and held hostage in an abandoned Hell-like compound where they are forced to participate in a violent game the goal of which is to survive twelve hours against a gang of sadistic clowns.,Rob Zombie,Malcolm McDowell,2016,102,5.1,10871,0.78,35
778,Final Girl,Action,A man teaches a young woman how to become a complete weapon. Later she is approached by a group of sadistic teens who kill blonde women for unknown reasons. The hunting season begins.,Tyler Shields,Abigail Breslin,2015,90,4.7,9026,0.5,56
779,Chalk It Up,Comedy,When a super girly-girl is dumped by her boyfriend; she decides to do everything she can to get him back by building a college gymnastics team,Hisonni Johnson,Maddy Curley,2016,90,4.8,499,0.5,
780,The Man Who Knew Infinity,Biography,The story of the life and academic career of the pioneer Indian mathematician Srinivasa Ramanujan and his friendship with his mentor Professor G.H. Hardy.,Matt Brown,Dev Patel,2015,108,7.2,29912,3.86,
781,Unknown,Action,A man awakens from a coma only to discover that someone has taken on his identity and that no one (not even his wife) believes him. With the help of a young woman he sets out to prove who he is.,Jaume Collet-Serra,Liam Neeson,2011,113,6.9,218679,61.09,56
782,Self/less,Action,A dying real estate mogul transfers his consciousness into a healthy young body but soon finds that neither the procedure nor the company that performed it are quite what they seem.,Tarsem Singh,Ryan Reynolds,2015,117,6.5,67196,12.28,34
783,Mr. Brooks,Crime,A psychological thriller about a man who is sometimes controlled by his murder-and-mayhem-loving alter ego.,Bruce A. Evans,Kevin Costner,2007,120,7.3,128146,28.48,45
784,Tramps,Comedy,A young man and woman find love in an unlikely place while carrying out a shady deal.,Adam Leon,Callum Turner,2016,82,6.5,1031,0.5,77
785,Before We Go,Comedy,Two strangers stuck in Manhattan for the night grow into each other's most trusted confidants when an evening of unexpected adventure forces them to confront their fears and take control of their lives.,Chris Evans,Chris Evans,2014,95,6.9,31370,0.04,31
786,Captain Phillips,Biography,The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama the first American cargo ship to be hijacked in two hundred years.,Paul Greengrass,Tom Hanks,2013,134,7.8,346154,107.1,83
787,The Secret Scripture,Drama,A woman keeps a diary of her extended stay at a mental hospital.,Jim Sheridan,Rooney Mara,2016,108,6.8,378,0.5,37
788,Max Steel,Action,The adventures of teenager Max McGrath and his alien companion Steel who must harness and combine their tremendous new powers to evolve into the turbo-charged superhero Max Steel.,Stewart Hendler,Ben Winchell,2016,92,4.6,11555,3.77,22
789,Hotel Transylvania 2,Animation,Dracula and his friends try to bring out the monster in his half human half vampire grandson in order to keep Mavis from leaving the hotel.,Genndy Tartakovsky,Adam Sandler,2015,89,6.7,69157,169.69,44
790,Hancock,Action,Hancock is a superhero whose ill considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.,Peter Berg,Will Smith,2008,92,6.4,366138,227.95,49
791,Sisters,Comedy,Two sisters decide to throw one last house party before their parents sell their family home.,Jason Moore,Amy Poehler,2015,118,6,50241,87.03,58
792,The Family,Comedy,The Manzoni family a notorious mafia clan is relocated to Normandy France under the witness protection program where fitting in soon becomes challenging as their old habits die hard.,Luc Besson,Robert De Niro,2013,111,6.3,92868,36.92,42
793,Zack and Miri Make a Porno,Comedy,Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll however the duo begin to sense that they may have more feelings for each other than they previously thought.,Kevin Smith,Seth Rogen,2008,101,6.6,154936,31.45,56
794,Ma vie de Courgette,Animation,After losing his mother a young boy is sent to a foster home with other orphans his age where he begins to learn the meaning of trust and true love.,Claude Barras,Gaspard Schlatter,2016,66,7.8,4370,0.29,85
795,Man on a Ledge,Action,As a police psychologist works to talk down an ex-con who is threatening to jump from a Manhattan hotel rooftop the biggest diamond heist ever committed is in motion.,Asger Leth,Sam Worthington,2012,102,6.6,129252,18.6,40
796,No Strings Attached,Comedy,A guy and girl try to keep their relationship strictly physical but it's not long before they learn that they want something more.,Ivan Reitman,Natalie Portman,2011,108,6.2,178243,70.63,50
797,Rescue Dawn,Adventure,A U.S. fighter pilot's epic struggle of survival after being shot down on a mission over Laos during the Vietnam War.,Werner Herzog,Christian Bale,2006,120,7.3,87887,5.48,77
798,Despicable Me 2,Animation,When Gru the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own He has to fight back with new gadgetry cars and more minion madness.,Pierre Coffin,Steve Carell,2013,98,7.4,304837,368.05,62
799,A Walk Among the Tombstones,Crime,Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.,Scott Frank,Liam Neeson,2014,114,6.5,93883,25.98,57
800,The World's End,Action,Five friends who reunite in an attempt to top their epic pub crawl from twenty years earlier unwittingly become humanity's only hope for survival.,Edgar Wright,Simon Pegg,2013,109,7,199813,26,81
801,Yoga Hosers,Comedy,Two teenage yoga enthusiasts team up with a legendary man-hunter to battle with an ancient evil presence that is threatening their major party plans.,Kevin Smith,Lily-Rose Depp,2016,88,4.3,7091,0.5,23
802,Seven Psychopaths,Comedy,A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.,Martin McDonagh,Colin Farrell,2012,110,7.2,196652,14.99,66
803,Beowulf,Animation,The warrior Beowulf must fight and defeat the monster Grendel who is terrorizing Denmark and later Grendel's mother who begins killing out of revenge.,Robert Zemeckis,Ray Winstone,2007,115,6.2,146566,82.16,59
804,Jack Ryan: Shadow Recruit,Action,Jack Ryan as a young covert CIA analyst uncovers a Russian plot to crash the U.S. economy with a terrorist attack.,Kenneth Branagh,Chris Pine,2014,105,6.2,103681,50.55,57
805,1408,Fantasy,A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in he confronts genuine terror.,Mikael Håfström,John Cusack,2007,104,6.8,221073,71.98,64
806,The Gambler,Crime,Lit professor and gambler Jim Bennett's debt causes him to borrow money from his mother and a loan shark. Further complicating his situation is his relationship with one of his students. Will Bennett risk his life for a second chance?,Rupert Wyatt,Mark Wahlberg,2014,111,6,52537,33.63,55
807,Prince of Persia: The Sands of Time,Action,A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,Mike Newell,Jake Gyllenhaal,2010,116,6.6,233148,90.76,50
808,The Spectacular Now,Comedy,"A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical ""nice girl.""",James Ponsoldt,Miles Teller,2013,95,7.1,115751,6.85,82
809,A United Kingdom,Biography,The story of King Seretse Khama of Botswana and how his loving but controversial marriage to a British white woman Ruth Williams put his kingdom into political and diplomatic turmoil.,Amma Asante,David Oyelowo,2016,111,6.8,4771,3.9,65
810,USS Indianapolis: Men of Courage,Action,During World War II an American navy ship is sunk by a Japanese submarine leaving 300 crewmen stranded in shark infested waters.,Mario Van Peebles,Nicolas Cage,2016,128,5.2,4964,0.5,30
811,Turbo Kid,Action,In a post-apocalyptic wasteland in 1997 a comic book fan adopts the persona of his favourite hero to save his enthusiastic friend and fight a tyrannical overlord.,François Simard,Munro Chambers,2015,93,6.7,19309,0.05,60
812,Mama,Horror,A young couple take in their two nieces only to suspect that a foreboding evil has latched itself to their family.,Andrés Muschietti,Jessica Chastain,2013,100,6.2,142560,71.59,57
813,Orphan,Horror,A husband and wife who recently lost their baby adopt a nine year-old girl who is not nearly as innocent as she claims to be.,Jaume Collet-Serra,Vera Farmiga,2009,123,7,153448,41.57,42
814,To Rome with Love,Comedy,The lives of some visitors and residents of Rome and the romances adventures and predicaments they get into.,Woody Allen,Woody Allen,2012,112,6.3,72050,16.68,54
815,Fantastic Mr. Fox,Animation,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,Wes Anderson,George Clooney,2009,87,7.8,149779,21,83
816,Inside Man,Crime,A police detective a bank robber and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.,Spike Lee,Denzel Washington,2006,129,7.6,285441,88.5,76
817,I.T.,Crime,A self-proclaimed millionaire has his life turned upside down after firing his I.T. consultant.,John Moore,Pierce Brosnan,2016,95,5.4,8755,0.5,27
818,127 Hours,Adventure,An adventurous mountain climber becomes trapped under a boulder while canyoneering alone near Moab Utah and resorts to desperate measures in order to survive.,Danny Boyle,James Franco,2010,94,7.6,294010,18.33,82
819,Annabelle,Horror,A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.,John R. Leonetti,Ward Horton,2014,99,5.4,91106,84.26,37
820,Wolves at the Door,Horror,Four friends gather at an elegant home during the Summer of Love 1969. Unbeknownst to them deadly visitors are waiting outside. What begins as a simple farewell party turns to a night of ... See full summary »,John R. Leonetti,Katie Cassidy,2016,73,4.6,564,0.5,63
821,Suite Française,Drama,During the early years of Nazi occupation of France in World War II romance blooms between Lucile Angellier (Michelle Williams) a French villager and Bruno von Falk (Matthias Schoenaerts) a German soldier.,Saul Dibb,Michelle Williams,2014,107,6.9,13711,0.5,
822,The Imaginarium of Doctor Parnassus,Adventure,A traveling theater company gives its audience much more than they were expecting.,Terry Gilliam,Christopher Plummer,2009,123,6.8,130153,7.69,65
823,G.I. Joe: The Rise of Cobra,Action,An elite military unit comprised of special operatives known as G.I. Joe operating out of The Pit takes on an evil organization led by a notorious arms dealer.,Stephen Sommers,Dennis Quaid,2009,118,5.8,180105,150.17,32
824,Christine,Biography,The story of Christine Chubbuck a 1970s TV reporter struggling with depression and professional frustrations as she tries to advance her career.,Antonio Campos,Rebecca Hall,2016,119,7,5855,0.3,72
825,Man Down,Drama,In a post-apocalyptic America former U.S. Marine Gabriel Drummer searches desperately for the whereabouts of his son accompanied by his best friend and a survivor.,Dito Montiel,Shia LaBeouf,2015,90,5.8,4779,0.5,27
826,Crawlspace,Horror,A thriller centered around a widower who moves into a seemingly perfect new home with his daughter and new wife.,Phil Claydon,Michael Vartan,2016,88,5.3,1427,0.5,25
827,Shut In,Drama,A heart-pounding thriller about a widowed child psychologist who lives in an isolated existence in rural New England. Caught in a deadly winter storm she must find a way to rescue a young boy before he disappears forever.,Farren Blackburn,Naomi Watts,2016,91,4.6,5715,6.88,
828,The Warriors Gate,Action,A teenager is magically transported to China and learns to convert his video game skills into those of a Kung Fu warrior.,Matthias Hoene,Mark Chao,2016,108,5.3,1391,0.5,77
829,Grindhouse,Action,Quentin Tarantino and Robert Rodriguez's homage to exploitation double features in the 60s and 70s with two back-to-back cult films that include previews of coming attractions between them.,Robert Rodriguez,Kurt Russell,2007,191,7.6,160350,25.03,
830,Disaster Movie,Comedy,Over the course of one evening,Jason Friedberg,Carmen Electra,2008,87,1.9,77207,14.17,15
831,Rocky Balboa,Drama,Thirty years after the ring of the first bell Rocky Balboa comes out of retirement and dons his gloves for his final fight; against the reigning heavyweight champ Mason 'The Line' Dixon.,Sylvester Stallone,Sylvester Stallone,2006,102,7.2,171356,70.27,63
832,Diary of a Wimpy Kid: Dog Days,Comedy,School's out. Summer vacation is on. However Greg may not have the best summer vacation ever. What could go wrong?,David Bowers,Zachary Gordon,2012,94,6.4,16917,49,54
833,Jane Eyre,Drama,A mousy governess who softens the heart of her employer soon discovers that he's hiding a terrible secret.,Cary Joji Fukunaga,Mia Wasikowska,2011,120,7.4,67464,11.23,76
834,Fool's Gold,Action,A new clue to the whereabouts of a lost treasure rekindles a married couple's sense of adventure -- and their estranged romance.,Andy Tennant,Matthew McConaughey,2008,112,5.7,62719,70.22,29
835,The Dictator,Comedy,The heroic story of a dictator who risked his life to ensure that democracy would never come to the country he so lovingly oppressed.,Larry Charles,Sacha Baron Cohen,2012,83,6.4,225394,59.62,58
836,The Loft,Mystery,Five married guys conspire to secretly share a penthouse loft in the city--a place where they can carry out hidden affairs and indulge in their deepest fantasies. But the fantasy becomes a nightmare when they discover the dead body of an unknown woman in the loft and they realize one of the group must be involved.,Erik Van Looy,Karl Urban,2014,108,6.3,38804,5.98,24
837,Bacalaureat,Crime,A film about compromises and the implications of the parent's role.,Cristian Mungiu,Adrian Titieni,2016,128,7.5,5531,0.13,84
838,You Don't Mess with the Zohan,Action,An Israeli Special Forces Soldier fakes his death so he can re-emerge in New York City as a hair stylist.,Dennis Dugan,Adam Sandler,2008,113,5.5,163144,100.02,54
839,Exposed,Crime,A police detective investigates the truth behind his partner's death. The mysterious case reveals disturbing police corruption and a dangerous secret involving an unlikely young woman.,Gee Malik Linton,Ana de Armas,2016,102,4.2,8409,0.5,23
840,Maudie,Biography,An arthritic Nova Scotia woman works as a housekeeper while she hones her skills as an artist and eventually becomes a beloved figure in the community.,Aisling Walsh,Ethan Hawke,2016,115,7.8,346,0.5,60
841,Horrible Bosses 2,Comedy,Dale Kurt and Nick decide to start their own business but things don't go as planned because of a slick investor prompting the trio to pull off a harebrained and misguided kidnapping scheme.,Sean Anders,Jason Bateman,2014,108,6.3,125190,54.41,40
842,A Bigger Splash,Drama,The vacation of a famous rock star and a filmmaker in Italy is disrupted by the unexpected visit of an old friend and his daughter.,Luca Guadagnino,Tilda Swinton,2015,125,6.4,15232,1.98,74
843,Melancholia,Drama,Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.,Lars von Trier,Kirsten Dunst,2011,135,7.1,137117,3.03,80
844,The Princess and the Frog,Animation,A waitress desperate to fulfill her dreams as a restaurant owner is set on a journey to turn a frog prince back into a human being but she has to face the same problem after she kisses him.,Ron Clements,Anika Noni Rose,2009,97,7.1,95480,104.37,73
845,Unstoppable,Action,With an unmanned half-mile-long freight train barreling toward a city a veteran engineer and a young conductor race against the clock to prevent a catastrophe.,Tony Scott,Denzel Washington,2010,98,6.8,157499,81.56,69
846,Flight,Drama,An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed but an investigation into the accident reveals something troubling.,Robert Zemeckis,Denzel Washington,2012,138,7.3,276347,93.75,76
847,Home,Animation,An alien on the run from his own people makes friends with a girl. He tries to help her on her quest but can be an interference.,Tim Johnson,Jim Parsons,2015,94,6.7,77447,177.34,55
848,La migliore offerta,Crime,In the world of high-end art auctions and antiques Virgil Oldman is an elderly and esteemed but eccentric genius art-expert known and appreciated by the world. Oldman is hired by a ... See full summary »,Giuseppe Tornatore,Geoffrey Rush,2013,131,7.8,77986,0.09,49
849,Mean Dreams,Thriller,Follows Casey and Jonas,Nathan Morlando,Sophie Nélisse,2016,108,6.3,1066,0.5,64
850,42,Biography,This movie is about Jackie Robinson and his journey to becoming a Brooklyn Dodger and his life during that time.,Brian Helgeland,Chadwick Boseman,2013,128,7.5,69659,95,62
851,21,Crime,"""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.",Robert Luketic,Jim Sturgess,2008,123,6.8,198395,81.16,48
852,Begin Again,Drama,A chance encounter between a disgraced music-business executive and a young singer-songwriter new to Manhattan turns into a promising collaboration between the two talents.,John Carney,Keira Knightley,2013,104,7.4,111875,16.17,62
853,Out of the Furnace,Crime,When Rodney Baze mysteriously disappears and law enforcement doesn't follow through fast enough his older brother Russell takes matters into his own hands to find justice.,Scott Cooper,Christian Bale,2013,116,6.8,88829,11.33,63
854,Vicky Cristina Barcelona,Drama,Two girlfriends on a summer holiday in Spain become enamored with the same painter unaware that his ex-wife with whom he has a tempestuous relationship is about to re-enter the picture.,Woody Allen,Rebecca Hall,2008,96,7.1,208770,23.21,70
855,Kung Fu Panda,Animation,The Dragon Warrior has to clash against the savage Tai Lung as China's fate hangs in the balance: However the Dragon Warrior mantle is supposedly mistaken to be bestowed upon an obese panda who is a tyro in martial arts.,Mark Osborne,Jack Black,2008,92,7.6,329788,215.4,73
856,Barbershop: The Next Cut,Comedy,As their surrounding community has taken a turn for the worse the crew at Calvin's Barbershop come together to bring some much needed change to their neighborhood.,Malcolm D. Lee,Ice Cube,2016,111,5.9,9993,54.01,67
857,Terminator Salvation,Action,In 2018 a mysterious new weapon in the war against the machines half-human and half-machine comes to John Connor on the eve of a resistance attack on Skynet. But whose side is he on and can he be trusted?,McG,Christian Bale,2009,115,6.6,297093,125.32,49
858,Freedom Writers,Biography,A young teacher inspires her class of at-risk students to learn tolerance apply themselves and pursue education beyond high school.,Richard LaGravenese,Hilary Swank,2007,123,7.5,55648,36.58,64
859,The Hills Have Eyes,Horror,A suburban American family is being stalked by a group of psychotic people who live in the desert,Alexandre Aja,Ted Levine,2006,107,6.4,136642,41.78,52
860,Changeling,Biography,A grief-stricken mother takes on the LAPD to her own detriment when it stubbornly tries to pass off an obvious impostor as her missing child while also refusing to give up hope that she will find him one day.,Clint Eastwood,Angelina Jolie,2008,141,7.8,206793,35.71,63
861,Remember Me,Drama,A romantic drama centered on two new lovers: Tyler whose parents have split in the wake of his brother's suicide and Ally who lives each day to the fullest since witnessing her mother's murder.,Allen Coulter,Robert Pattinson,2010,113,7.2,119376,19.06,40
862,Koe no katachi,Animation,The story revolves around Nishimiya Shoko a grade school student who has impaired hearing. She transfers into a new school where she is bullied by her classmates especially Ishida Shouya... See full summary »,Naoko Yamada,Miyu Irino,2016,129,8.4,2421,0.5,80
863,Alexander and the Terrible,Comedy,Alexander's day begins with gum stuck in his hair,Miguel Arteta,Steve Carell,2014,81,6.2,32310,66.95,54
864,Locke,Drama,Ivan Locke,Steven Knight,Tom Hardy,2013,85,7.1,100890,1.36,81
865,The 9th Life of Louis Drax,Mystery,A psychologist who begins working with a young boy who has suffered a near-fatal fall finds himself drawn into a mystery that tests the boundaries of fantasy and reality.,Alexandre Aja,Jamie Dornan,2016,108,6.3,6175,0.5,41
866,Horns,Drama,In the aftermath of his girlfriend's mysterious death a young man awakens to find strange horns sprouting from his temples.,Alexandre Aja,Daniel Radcliffe,2013,120,6.5,61060,0.16,46
867,Indignation,Drama,In 1951 Marcus a working-class Jewish student from New Jersey attends a small Ohio college where he struggles with sexual repression and cultural disaffection amid the ongoing Korean War.,James Schamus,Logan Lerman,2016,110,6.9,7402,3.4,78
868,The Stanford Prison Experiment,Biography,Twenty-four male students out of seventy-five were selected to take on randomly assigned roles of prisoners and guards in a mock prison situated in the basement of the Stanford psychology building.,Kyle Patrick Alvarez,Ezra Miller,2015,122,6.9,20907,0.64,67
869,Diary of a Wimpy Kid: Rodrick Rules,Comedy,Back in middle school after summer vacation Greg Heffley and his older brother Rodrick must deal with their parents' misguided attempts to have them bond.,David Bowers,Zachary Gordon,2011,99,6.6,20194,52.69,51
870,Mission: Impossible III,Action,Agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fianceé in response .,J.J. Abrams,Tom Cruise,2006,126,6.9,270429,133.38,66
871,En man som heter Ove,Comedy,Ove an ill-tempered isolated retiree who spends his days enforcing block association rules and visiting his wife's grave has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.,Hannes Holm,Rolf Lassgård,2015,116,7.7,21569,3.36,70
872,Dragonball Evolution,Action,The young warrior Son Goku sets out on a quest racing against time and the vengeful King Piccolo to collect a set of seven magical orbs that will grant their wielder unlimited power.,James Wong,Justin Chatwin,2009,85,2.7,59512,9.35,45
873,Red Dawn,Action,A group of teenagers look to save their town from an invasion of North Korean soldiers.,Dan Bradley,Chris Hemsworth,2012,93,5.4,64584,44.8,31
874,One Day,Drama,After spending the night together on the night of their college graduation Dexter and Em are shown each year on the same date to see where they are in their lives. They are sometimes together sometimes not on that day.,Lone Scherfig,Anne Hathaway,2011,107,7,113599,13.77,48
875,Life as We Know It,Comedy,Two single adults become caregivers to an orphaned girl when their mutual best friends die in an accident.,Greg Berlanti,Katherine Heigl,2010,114,6.6,101301,53.36,39
876,28 Weeks Later,Drama,Six months after the rage virus was inflicted on the population of Great Britain the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes to plan.,Juan Carlos Fresnadillo,Jeremy Renner,2007,100,7,221858,28.64,78
877,Warm Bodies,Comedy,After a highly unusual zombie saves a still-living girl from an attack the two form a relationship that sets in motion events that might transform the entire lifeless world.,Jonathan Levine,Nicholas Hoult,2013,98,6.9,193579,66.36,59
878,Blue Jasmine,Drama,A New York socialite,Woody Allen,Cate Blanchett,2013,98,7.3,160592,33.4,78
879,G.I. Joe: Retaliation,Action,The G.I. Joes are not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.,Jon M. Chu,Dwayne Johnson,2013,110,5.8,152145,122.51,41
880,Wrath of the Titans,Action,Perseus braves the treacherous underworld to rescue his father Zeus captured by his son Ares and brother Hades who unleash the ancient Titans upon the world.,Jonathan Liebesman,Sam Worthington,2012,99,5.8,159230,83.64,37
881,Shin Gojira,Action,Japan is plunged into chaos upon the appearance of a giant monster.,Hideaki Anno,Hiroki Hasegawa,2016,120,6.9,8365,1.91,68
882,Saving Mr. Banks,Biography,Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney who seeks to adapt her Mary Poppins books for the big screen.,John Lee Hancock,Emma Thompson,2013,125,7.5,125693,83.3,65
883,Transcendence,Drama,A scientist's drive for artificial intelligence takes on dangerous implications when his consciousness is uploaded into one such program.,Wally Pfister,Johnny Depp,2014,119,6.3,184564,23.01,42
884,Rio,Animation,When Blu a domesticated macaw from small-town Minnesota meets the fiercely independent Jewel he takes off on an adventure to Rio de Janeiro with the bird of his dreams.,Carlos Saldanha,Jesse Eisenberg,2011,96,6.9,173919,143.62,63
885,Equals,Drama,In an emotionless utopia two people fall in love when they regain their feelings from a mysterious disease causing tensions between them and their society.,Drake Doremus,Nicholas Hoult,2015,101,6.1,16361,0.03,43
886,Babel,Drama,Tragedy strikes a married couple on vacation in the Moroccan desert,Alejandro González Iñárritu,Brad Pitt,2006,143,7.5,253417,34.3,69
887,The Tree of Life,Drama,The story of a family in Waco Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings.,Terrence Malick,Brad Pitt,2011,139,6.8,143517,13.3,85
888,The Lucky One,Drama,A Marine travels to Louisiana after serving three tours in Iraq and searches for the unknown woman he believes was his good luck charm during the war.,Scott Hicks,Zac Efron,2012,101,6.5,82874,60.44,39
889,Piranha 3D,Comedy,After a sudden underwater tremor sets free scores of the prehistoric man-eating fish an unlikely group of strangers must band together to stop themselves from becoming fish food for the area's new razor-toothed residents.,Alexandre Aja,Elisabeth Shue,2010,88,5.5,75262,25,53
890,50/50,Comedy,Inspired by a true story a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.,Jonathan Levine,Joseph Gordon-Levitt,2011,100,7.7,281625,34.96,72
891,The Intent,Crime,Gunz (Dylan Duffus) is thrust into a world of excitement when he joins the TIC crew. The crew led by the ruthless Hoodz (Scorcher) goes from low level weed peddling to full on armed ... See full summary »,Femi Oyeniran,Dylan Duffus,2016,104,3.5,202,0.5,59
892,This Is 40,Comedy,Pete and Debbie are both about to turn 40 their kids hate each other both of their businesses are failing they're on the verge of losing their house and their relationship is threatening to fall apart.,Judd Apatow,Paul Rudd,2012,134,6.2,108156,67.52,
893,Real Steel,Action,In the near future robot boxing is a top sport. A struggling promoter feels he's found a champion in a discarded robot.,Shawn Levy,Hugh Jackman,2011,127,7.1,264480,85.46,56
894,Sex and the City,Comedy,A New York writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.,Michael Patrick King,Sarah Jessica Parker,2008,145,5.5,102547,152.64,53
895,Rambo,Action,In Thailand John Rambo joins a group of missionaries to venture into war-torn Burma and rescue a group of Christian aid workers who were kidnapped by the ruthless local infantry unit.,Sylvester Stallone,Sylvester Stallone,2008,92,7.1,187077,42.72,46
896,Planet Terror,Action,After an experimental bio-weapon is released turning thousands into zombie-like creatures it's up to a rag-tag group of survivors to stop the infected and those behind its release.,Robert Rodriguez,Rose McGowan,2007,105,7.1,174553,0.5,55
897,Concussion,Biography,In Pittsburgh accomplished pathologist Dr. Bennet Omalu uncovers the truth about brain damage in football players who suffer repeated concussions in the course of normal play.,Peter Landesman,Will Smith,2015,123,7.1,61274,34.53,
898,The Fall,Adventure,In a hospital on the outskirts of 1920s Los Angeles an injured stuntman begins to tell a fellow patient a little girl with a broken arm a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination the line between fiction and reality blurs as the tale advances.,Tarsem Singh,Lee Pace,2006,117,7.9,93036,2.28,64
899,The Ugly Truth,Comedy,A romantically challenged morning show producer is reluctantly embroiled in a series of outrageous tests by her chauvinistic correspondent to prove his theories on relationships and help ... See full summary »,Robert Luketic,Katherine Heigl,2009,96,6.5,172558,88.92,28
900,Bride Wars,Comedy,Two best friends become rivals when they schedule their respective weddings on the same day.,Gary Winick,Kate Hudson,2009,89,5.5,83976,58.72,24
901,Sleeping with Other People,Comedy,A good-natured womanizer and a serial cheater form a platonic relationship that helps reform them in ways while a mutual attraction sets in.,Leslye Headland,Jason Sudeikis,2015,101,6.5,27730,0.81,64
902,Snakes on a Plane,Action,An FBI agent takes on a plane full of deadly and venomous snakes deliberately released to kill a witness being flown from Honolulu to Los Angeles to testify against a mob boss.,David R. Ellis,Samuel L. Jackson,2006,105,5.6,118905,34.01,58
903,What If,Comedy,Wallace who is burned out from a string of failed relationships forms an instant bond with Chantry who lives with her longtime boyfriend. Together they puzzle out what it means if your best friend is also the love of your life.,Michael Dowse,Daniel Radcliffe,2013,98,6.8,55243,3.45,59
904,How to Train Your Dragon 2,Animation,When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider the two friends find themselves at the center of a battle to protect the peace.,Dean DeBlois,Jay Baruchel,2014,102,7.9,237565,177,76
905,RoboCop,Action,In 2028 Detroit when Alex Murphy - a loving husband father and good cop - is critically injured in the line of duty the multinational conglomerate OmniCorp sees their chance for a part-man part-robot police officer.,José Padilha,Joel Kinnaman,2014,117,6.2,190833,58.61,52
906,In Dubious Battle,Drama,An activist gets caught up in the labor movement for farm workers in California during the 1930s.,James Franco,Nat Wolff,2016,110,6.2,1455,0.5,43
907,Hello,ComedyDramaRomance,A self-help seminar inspires a sixty-something woman to romantically pursue her younger co-worker.,Michael Showalter,Sally Field,2015,95,6.7,12361,14.44,63
908,Ocean's Thirteen,Crime,Danny Ocean rounds up the boys for a third heist after casino owner Willy Bank double-crosses one of the original eleven Reuben Tishkoff.,Steven Soderbergh,George Clooney,2007,122,6.9,269581,117.14,62
909,Slither,Comedy,A small town is taken over by an alien plague turning residents into zombies and all forms of mutant monsters.,James Gunn,Nathan Fillion,2006,95,6.5,64351,7.77,69
910,Contagion,Drama,Healthcare professionals government officials and everyday people find themselves in the midst of a worldwide epidemic as the CDC works to find a cure.,Steven Soderbergh,Matt Damon,2011,106,6.6,187004,75.64,70
911,Il racconto dei racconti - Tale of Tales,Drama,From the bitter quest of the Queen of Longtrellis to two mysterious sisters who provoke the passion of a king to the King of Highhills obsessed with a giant Flea these tales are inspired by the fairytales by Giambattista Basile.,Matteo Garrone,Salma Hayek,2015,133,6.4,17565,0.08,72
912,I Am the Pretty Thing That Lives in the House,Thriller,A young nurse takes care of elderly author who lives in a haunted house.,Oz Perkins,Ruth Wilson,2016,87,4.7,4204,0.5,68
913,Bridge to Terabithia,Adventure,A preteen's life turns upside down when he befriends the new girl in school and they imagine a whole new fantasy world to escape reality.,Gabor Csupo,Josh Hutcherson,2007,96,7.2,117297,82.23,74
914,Coherence,Mystery,Strange things begin to happen when a group of friends gather for a dinner party on an evening when a comet is passing overhead.,James Ward Byrkit,Emily Baldoni,2013,89,7.2,66265,0.07,65
915,Notorious,Biography,The life and death story of Notorious B.I.G. (a.k.a. Christopher Wallace) who came straight out of Brooklyn to take the world of rap music by storm.,George Tillman Jr.,Jamal Woolard,2009,122,6.7,33007,36.84,60
